doc_id,name,gender,dob,degree,success_rate,experience,hid,dep_id
99,Jerry,M,4/21/1986,Super Speciality,91,35,99,19
100,Calvin,M,9/4/1954,MS,75,67,100,6
101,Perry,M,2/28/1957,DM,88,64,101,20
102,Dave,M,3/23/1943,MBBS,81,78,102,3
103,Anthony,M,7/21/1960,FRCS,83,61,103,7
104,Eddie,M,10/28/1993,DM,70,28,104,20
105,Amos,M,12/22/1984,MD,69,37,105,19
106,Dennis,M,4/5/1955,Super Speciality,78,66,106,18
107,Clifford,M,11/13/1944,MD,82,77,107,4
108,Leroy,M,10/23/1947,MS,79,74,108,18
109,Wesley,M,11/17/1939,FRCS,84,82,109,20
110,Alonzo,M,6/4/1947,DM,89,74,110,9
111,Garfield,M,4/18/1989,MS,94,32,111,8
112,Franklin,M,12/12/1989,DM,92,32,112,19
113,Emil,M,12/10/1970,MBBS,82,51,113,4
114,Leon,M,2/5/1939,MS,90,82,114,1
115,Nathan,M,5/16/1953,MD,87,68,115,4
116,Harold,M,9/5/1947,DM,84,74,116,9
117,Matthew,M,1/22/1960,Super Speciality,76,61,117,17
118,Levi,M,1/28/1962,MBBS,66,59,118,19
119,Moses,M,8/16/1957,DM,75,64,119,19
120,Everett,M,2/22/1956,Super Speciality,91,65,120,15
121,Lester,M,5/11/1959,Super Speciality,65,62,121,1
122,Winfield,M,3/2/1978,MBBS,69,43,122,11
123,Adam,M,7/4/1965,MBBS,83,56,123,14
124,Lloyd,M,2/22/1947,FRCS,81,74,124,11
125,Mack,M,5/18/1941,MD,66,80,125,9
126,Fredrick,M,12/19/1999,MBBS,100,22,126,4
127,Jay,M,6/9/1979,MD,70,42,127,15
128,Jess,M,4/4/1962,Super Speciality,70,59,128,10
129,Melvin,M,7/14/1994,MD,74,27,129,1
130,Noah,M,10/14/1975,Super Speciality,70,46,130,16
131,Aaron,M,10/26/1957,MD,95,64,131,16
132,Alvin,M,6/29/1954,FRCS,66,67,132,13
133,Norman,M,1/5/1989,MS,67,32,133,19
134,Gilbert,M,1/25/1998,DM,77,23,134,1
135,Elijah,M,12/6/1964,MBBS,87,57,135,12
136,Victor,M,2/22/1944,MD,92,77,136,17
137,Gus,M,12/21/1945,DM,66,76,137,7
138,Nelson,M,9/19/1981,DM,85,40,138,15
139,Jasper,M,9/10/1946,MS,81,75,139,7
140,Silas,M,5/24/2002,MS,79,19,140,18
141,Christopher,M,2/14/1986,FRCS,89,35,141,11
142,Jake,M,5/3/1946,MD,79,75,142,4
143,Mike,M,8/19/2000,Super Speciality,94,21,143,18
144,Percy,M,5/10/1940,FRCS,87,81,144,18
145,Adolph,M,3/4/2002,FRCS,70,19,145,17
146,Maurice,M,11/26/1980,MS,100,41,146,10
147,Cornelius,M,4/10/1989,Super Speciality,80,32,147,14
148,Felix,M,12/7/2000,MD,83,21,148,16
149,Reuben,M,10/4/1989,MS,98,32,149,17
150,Wallace,M,1/16/1948,Super Speciality,77,73,150,3
151,Claud,M,5/13/1957,MBBS,70,64,151,7
152,Roscoe,M,2/17/1976,MS,95,45,152,8
153,Sylvester,M,4/22/1958,DM,85,63,153,5
154,Earnest,M,7/22/1942,MS,89,79,154,14
155,Hiram,M,12/3/1990,MS,89,31,155,12
156,Otis,M,2/1/1946,MBBS,100,75,156,10
157,Simon,M,11/2/1939,Super Speciality,81,82,157,13
158,Willard,M,7/8/1974,FRCS,79,47,158,4
159,Irvin,M,12/4/1945,MD,82,76,159,9
160,Mark,M,7/3/1945,Super Speciality,89,76,160,8
161,Jose,M,5/8/1947,MS,95,74,161,15
162,Wilbur,M,9/21/1947,FRCS,87,74,162,6
163,Abraham,M,9/11/1986,Super Speciality,72,35,163,3
164,Virgil,M,8/7/1992,DM,88,29,164,8
165,Clinton,M,11/30/1992,DM,78,29,165,1
166,Elbert,M,5/12/1942,DM,74,79,166,20
167,Leslie,M,7/21/1983,MBBS,87,38,167,6
168,Marshall,M,10/22/1967,Super Speciality,72,54,168,4
169,Owen,M,5/1/1981,MS,88,40,169,13
170,Wiley,M,5/7/1983,MD,70,38,170,9
171,Anton,M,11/8/1964,DM,67,57,171,17
172,Morris,M,1/19/1974,Super Speciality,92,47,172,15
173,Manuel,M,6/21/1971,DM,82,50,173,15
174,Phillip,M,8/17/1947,DM,84,74,174,20
175,Augustus,M,9/5/1992,MD,68,29,175,6
176,Emmett,M,1/29/1941,MD,91,80,176,19
177,Eli,M,2/8/1987,FRCS,72,34,177,18
178,Nicholas,M,2/14/1977,DM,76,44,178,8
179,Wilson,M,9/9/1944,Super Speciality,71,77,179,1
180,Alva,M,3/27/1990,MBBS,81,31,180,7
181,Harley,M,6/22/1966,FRCS,91,55,181,3
182,Newton,M,1/25/1942,FRCS,72,79,182,20
183,Timothy,M,12/19/1952,Super Speciality,65,69,183,18
184,Marvin,M,11/2/1965,MS,69,56,184,16
185,Ross,M,6/4/1980,FRCS,95,41,185,2
186,Curtis,M,7/23/1978,MS,68,43,186,8
187,Edmund,M,4/9/1939,FRCS,69,82,187,3
188,Jeff,M,10/6/1956,MS,68,65,188,18
189,Elias,M,8/8/1994,Super Speciality,96,27,189,18
190,Harrison,M,8/18/1965,DM,98,56,190,7
191,Stanley,M,6/11/1957,MS,89,64,191,11
192,Columbus,M,1/4/1946,DM,72,75,192,20
193,Lon,M,2/12/1999,FRCS,74,22,193,2
194,Ora,M,1/24/1981,MD,98,40,194,6
195,Ollie,M,8/8/1956,MBBS,95,65,195,18
196,Russell,M,3/19/1962,FRCS,67,59,196,2
197,Pearl,M,10/10/1943,Super Speciality,90,78,197,5
198,Solomon,M,12/9/1948,Super Speciality,92,73,198,1
199,Arch,M,6/23/2001,DM,70,20,199,15
200,Asa,M,10/12/1986,MS,73,35,200,10
201,Clayton,M,3/16/1973,FRCS,68,48,201,17
202,Enoch,M,10/11/1997,MS,95,24,202,7
203,Irving,M,6/1/1942,MBBS,96,79,203,15
204,Mathew,M,10/26/2005,DM,78,16,204,3
205,Nathaniel,M,11/28/1993,DM,66,28,205,17
206,Scott,M,5/22/1962,MD,98,59,206,8
207,Hubert,M,10/8/1939,MD,67,82,207,9
208,Lemuel,M,5/20/2001,Super Speciality,96,20,208,5
209,Andy,M,9/7/1978,FRCS,70,43,209,1
210,Ellis,M,8/22/1993,FRCS,91,28,210,17
211,Emanuel,M,9/5/1989,MBBS,75,32,211,6
212,Joshua,M,10/26/1946,Super Speciality,67,75,212,3
213,Millard,M,11/12/1993,MBBS,71,28,213,14
214,Vernon,M,7/11/1950,Super Speciality,82,71,214,15
215,Wade,M,9/16/1961,DM,74,60,215,6
216,Cyrus,M,4/3/1950,DM,82,71,216,20
217,Miles,M,8/9/1983,MBBS,94,38,217,15
218,Rudolph,M,7/6/1990,MBBS,89,31,218,15
219,Sherman,M,3/6/1959,FRCS,81,62,219,4
220,Austin,M,8/16/1940,FRCS,95,81,220,4
221,Bill,M,11/24/1999,DM,85,22,221,18
222,Chas,M,8/16/1994,DM,72,27,222,20
223,Lonnie,M,2/19/1976,MS,89,45,223,16
224,Monroe,M,2/11/2001,DM,87,20,224,20
225,Byron,M,4/29/1982,MD,86,39,225,14
226,Edd,M,9/12/1952,FRCS,93,69,226,15
227,Emery,M,1/16/1956,MS,78,65,227,11
228,Grant,M,1/26/2003,MS,95,18,228,7
229,Jerome,M,7/4/1957,MBBS,100,64,229,7
230,Max,M,1/25/1942,MBBS,68,79,230,17
231,Mose,M,2/5/1981,MS,81,40,231,1
232,Steve,M,1/14/1941,FRCS,86,80,232,13
233,Gordon,M,8/11/1971,MD,68,50,233,13
234,Abe,M,8/24/1980,MD,66,41,234,5
235,Pete,M,8/21/1944,DM,99,77,235,16
236,Chris,M,4/5/1953,FRCS,100,68,236,16
237,Clark,M,11/28/1983,FRCS,84,38,237,11
238,Gustave,M,8/21/1976,Super Speciality,70,45,238,7
239,Orville,M,9/3/2005,Super Speciality,98,16,239,8
240,Lorenzo,M,2/5/1968,MBBS,67,53,240,8
241,Bruce,M,5/13/1999,FRCS,94,22,241,12
242,Marcus,M,8/24/1968,Super Speciality,85,53,242,9
243,Preston,M,6/25/1953,MD,96,68,243,7
244,Bob,M,7/13/1961,MD,88,60,244,16
245,Dock,M,4/17/1940,DM,68,81,245,13
246,Donald,M,8/14/1944,FRCS,78,77,246,10
247,Jackson,M,5/17/1941,FRCS,99,80,247,9
248,Cecil,M,10/22/1952,MS,73,69,248,4
249,Barney,M,11/3/1950,MBBS,68,71,249,10
250,Delbert,M,1/12/1972,MS,74,49,250,19
251,Edmond,M,8/24/1976,Super Speciality,91,45,251,7
252,Anderson,M,12/17/1958,MBBS,83,63,252,13
253,Christian,M,6/25/1994,Super Speciality,69,27,253,4
254,Glenn,M,7/13/2003,Super Speciality,89,18,254,19
255,Jefferson,M,12/24/1992,Super Speciality,79,29,255,17
256,Luke,M,3/29/1945,Super Speciality,74,76,256,16
257,Neal,M,1/25/1944,MD,68,77,257,10
258,Burt,M,8/16/1970,MBBS,67,51,258,17
259,Ike,M,9/19/1996,FRCS,100,25,259,12
260,Myron,M,11/23/1950,FRCS,80,71,260,14
261,Tony,M,2/29/1943,FRCS,96,78,261,14
262,Conrad,M,6/8/1942,MD,70,79,262,8
263,Joel,M,5/10/1970,MS,100,51,263,5
264,Matt,M,5/27/1943,DM,87,78,264,11
265,Riley,M,4/25/1998,MS,76,23,265,4
266,Vincent,M,11/8/1948,DM,87,73,266,14
267,Emory,M,5/29/1970,MS,73,51,267,10
268,Isaiah,M,9/28/1951,FRCS,96,70,268,19
269,Nick,M,9/2/1962,MBBS,69,59,269,3
270,Ezra,M,4/1/1984,MS,74,37,270,6
271,Green,M,4/15/1998,Super Speciality,72,23,271,2
272,Juan,M,6/7/1964,Super Speciality,65,57,272,1
273,Clifton,M,2/12/1957,MS,89,64,273,2
274,Lucius,M,1/30/2001,MS,87,20,274,20
275,Porter,M,4/5/1960,FRCS,71,61,275,13
276,Arnold,M,10/26/1959,DM,74,62,276,10
277,Bud,M,4/9/1947,Super Speciality,80,74,277,20
278,Jeremiah,M,1/5/1946,MBBS,94,75,278,2
279,Taylor,M,4/4/1996,Super Speciality,91,25,279,9
280,Forrest,M,4/14/1991,Super Speciality,94,30,280,9
281,Roland,M,10/5/1981,MBBS,86,40,281,11
282,Spencer,M,2/27/1976,MS,99,45,282,2
283,Burton,M,3/21/1963,Super Speciality,66,58,283,8
284,Don,M,9/10/1945,Super Speciality,81,76,284,16
285,Emmet,M,4/13/1989,FRCS,73,32,285,13
286,Gustav,M,3/29/1953,DM,66,68,286,4
287,Louie,M,9/11/1978,MD,83,43,287,5
288,Morgan,M,5/27/1956,MS,99,65,288,16
289,Ned,M,8/20/1939,MD,78,82,289,20
290,Van,M,12/6/1944,Super Speciality,78,77,290,17
291,Ambrose,M,6/9/1979,DM,73,42,291,7
292,Chauncey,M,7/21/1940,FRCS,95,81,292,2
293,Elisha,M,10/19/1987,DM,90,34,293,11
294,Ferdinand,M,10/29/1978,MS,66,43,294,16
295,General,M,3/24/1982,MS,66,39,295,13
296,Julian,M,8/3/1989,Super Speciality,75,32,296,1
297,Kenneth,M,8/24/1947,DM,70,74,297,20
298,Mitchell,M,3/13/1963,FRCS,100,58,298,20
299,Allie,M,5/19/1939,DM,85,82,299,17
300,Josh,M,10/4/1994,Super Speciality,65,27,300,7
301,Judson,M,7/18/1987,MD,69,34,301,16
302,Lyman,M,5/2/1964,DM,98,57,302,11
303,Napoleon,M,6/25/1970,Super Speciality,94,51,303,13
304,Pedro,M,12/13/1940,DM,84,81,304,3
305,Berry,M,10/12/1957,Super Speciality,83,64,305,16
306,Dewitt,M,11/15/1980,DM,79,41,306,18
307,Ervin,M,11/17/1993,FRCS,86,28,307,14
308,Forest,M,2/10/1947,DM,84,74,308,6
309,Lynn,M,4/19/1949,MD,88,72,309,7
310,Pink,M,8/1/1980,DM,96,41,310,6
311,Ruben,M,5/24/1969,FRCS,69,52,311,20
312,Sanford,M,12/2/1963,MBBS,73,58,312,9
313,Ward,M,6/26/1940,MD,91,81,313,5
314,Douglas,M,7/11/2000,MBBS,80,21,314,18
315,Ole,M,4/8/1963,MS,93,58,315,12
316,Omer,M,5/28/1971,MBBS,84,50,316,11
317,Ulysses,M,10/27/1947,MD,83,74,317,10
318,Walker,M,4/25/1957,DM,76,64,318,3
319,Wilbert,M,11/23/2003,MD,93,18,319,20
320,Adelbert,M,7/29/1939,DM,76,82,320,11
321,Benjiman,M,2/12/1954,MD,100,67,321,4
322,Ivan,M,12/8/1947,MD,98,74,322,1
323,Jonas,M,6/1/1996,MS,80,25,323,5
324,Major,M,8/17/1947,FRCS,66,74,324,5
325,Abner,M,7/8/1983,MS,72,38,325,8
326,Archibald,M,2/11/1970,MBBS,99,51,326,14
327,Caleb,M,5/14/1967,MBBS,97,54,327,4
328,Clint,M,5/12/1943,DM,82,78,328,9
329,Dudley,M,8/12/1971,MBBS,70,50,329,14
330,Granville,M,5/5/1995,MS,89,26,330,9
331,King,M,12/1/2003,DM,67,18,331,20
332,Mary,M,12/15/1991,FRCS,97,30,332,17
333,Merton,M,2/26/1978,MS,71,43,333,20
334,Antonio,M,9/12/1940,DM,68,81,334,16
335,Bennie,M,12/13/1960,DM,71,61,335,18
336,Carroll,M,9/12/1944,Super Speciality,93,77,336,19
337,Freeman,M,4/16/1941,MBBS,73,80,337,17
338,Josiah,M,11/16/1975,MD,70,46,338,7
339,Milo,M,3/25/2001,MBBS,100,20,339,16
340,Royal,M,11/14/1996,Super Speciality,74,25,340,12
341,Dick,M,12/5/1998,Super Speciality,70,23,341,11
342,Earle,M,12/7/1940,MBBS,71,81,342,3
343,Elza,M,1/10/1943,MS,89,78,343,10
344,Emerson,M,8/11/1953,MD,88,68,344,8
345,Fletcher,M,6/4/1958,MD,99,63,345,9
346,Judge,M,5/5/1950,DM,99,71,346,9
347,Laurence,M,6/27/1963,MS,75,58,347,13
348,Neil,M,5/13/1984,MD,91,37,348,7
349,Roger,M,2/14/1958,MS,95,63,349,1
350,Seth,M,3/8/1954,MBBS,68,67,350,13
351,Glen,M,3/12/1961,MBBS,89,60,351,9
352,Hugo,M,3/4/1958,Super Speciality,94,63,352,13
353,Jimmie,M,8/27/1995,FRCS,71,26,353,1
354,Johnnie,M,1/10/1939,Super Speciality,80,82,354,8
355,Washington,M,12/23/1984,DM,76,37,355,11
356,Elwood,M,4/22/1994,MS,80,27,356,1
357,Gust,M,10/10/1960,DM,94,61,357,15
358,Harmon,M,6/22/1985,DM,78,36,358,10
359,Jordan,M,2/5/1942,MS,88,79,359,14
360,Simeon,M,4/12/1960,Super Speciality,79,61,360,5
361,Wayne,M,11/3/1972,MBBS,92,49,361,10
362,Wilber,M,3/20/1955,Super Speciality,97,66,362,9
363,Clem,M,8/5/1942,Super Speciality,77,79,363,15
364,Evan,M,7/7/1977,Super Speciality,66,44,364,9
365,Frederic,M,9/16/1965,DM,74,56,365,5
366,Irwin,M,9/18/2003,Super Speciality,68,18,366,11
367,Junius,M,12/1/1995,MS,80,26,367,12
368,Lafayette,M,7/3/2001,MD,98,20,368,7
369,Loren,M,9/22/1967,MBBS,92,54,369,19
370,Madison,M,10/18/1980,Super Speciality,69,41,370,18
371,Mason,M,6/4/1995,Super Speciality,90,26,371,14
372,Orval,M,4/14/1998,MD,93,23,372,8
373,Abram,M,11/10/1983,FRCS,72,38,373,9
374,Aubrey,M,6/24/1939,MS,86,82,374,16
375,Elliott,M,1/22/2002,MS,99,19,375,10
376,Hans,M,8/17/1973,MD,83,48,376,8
377,Karl,M,5/3/2000,Super Speciality,92,21,377,16
378,Minor,M,12/5/1943,MBBS,65,78,378,15
379,Wash,M,6/27/1980,Super Speciality,97,41,379,16
380,Wilfred,M,1/1/1981,MD,66,40,380,8
381,Allan,M,9/28/1940,FRCS,80,81,381,10
382,Alphonse,M,8/14/1995,MS,72,26,382,17
383,Dallas,M,2/18/1940,MS,82,81,383,17
384,Dee,M,10/7/2003,MS,75,18,384,6
385,Isiah,M,10/27/1946,Super Speciality,75,75,385,2
386,Jason,M,6/2/1986,MD,80,35,386,9
387,Johnny,M,7/11/1974,FRCS,72,47,387,13
388,Lawson,M,2/4/1999,MD,78,22,388,13
389,Lew,M,12/24/1958,Super Speciality,78,63,389,19
390,Micheal,M,10/11/1990,MBBS,94,31,390,1
391,Orin,M,3/17/1975,MBBS,80,46,391,7
392,Addison,M,10/16/1965,MBBS,100,56,392,12
393,Cal,M,2/7/2003,MS,88,18,393,11
394,Erastus,M,3/7/1967,MS,84,54,394,13
395,Francisco,M,6/19/2003,MD,74,18,395,2
396,Hardy,M,8/5/1962,MS,71,59,396,18
397,Lucien,M,8/9/2001,MBBS,85,20,397,18
398,Randolph,M,1/5/1943,MS,91,78,398,2
399,Stewart,M,2/18/1949,DM,99,72,399,2
400,Vern,M,6/16/1945,DM,71,76,400,2
401,Wilmer,M,1/15/1983,DM,94,38,401,20
402,Zack,M,8/1/1941,DM,93,80,402,1
403,Adrian,M,7/26/1945,Super Speciality,80,76,403,2
404,Alvah,M,9/16/1975,MD,78,46,404,5
405,Bertram,M,10/3/1996,MBBS,73,25,405,7
406,Clay,M,3/27/1981,Super Speciality,99,40,406,5
407,Ephraim,M,6/18/1997,MS,74,24,407,17
408,Fritz,M,12/5/1967,DM,83,54,408,1
409,Giles,M,4/22/1981,Super Speciality,82,40,409,10
410,Grover,M,6/9/2004,Super Speciality,92,17,410,11
411,Harris,M,7/25/1947,Super Speciality,71,74,411,15
412,Isom,M,11/21/1966,MS,84,55,412,6
413,Jesus,M,4/3/1980,MS,82,41,413,9
414,Johnie,M,11/3/1950,DM,85,71,414,14
415,Jonathan,M,7/27/1970,FRCS,97,51,415,9
416,Lucian,M,1/20/1968,FRCS,88,53,416,5
417,Malcolm,M,5/19/1968,MD,93,53,417,6
418,Merritt,M,6/26/1975,MBBS,84,46,418,15
419,Otho,M,11/6/1945,Super Speciality,88,76,419,1
420,Perley,M,7/3/1980,DM,66,41,420,1
421,Rolla,M,11/4/1987,DM,84,34,421,8
422,Sandy,M,12/20/1959,Super Speciality,74,62,422,20
423,Tomas,M,7/12/1959,MD,88,62,423,20
424,Wilford,M,2/20/1939,DM,73,82,424,17
425,Adolphus,M,2/5/2003,Super Speciality,77,18,425,19
426,Angus,M,8/8/1978,MD,84,43,426,5
427,Arther,M,8/9/1997,MD,94,24,427,16
428,Carlos,M,2/15/1965,MD,77,56,428,3
429,Cary,M,6/20/1994,MBBS,76,27,429,1
430,Cassius,M,5/18/1993,DM,86,28,430,15
431,Davis,M,10/15/1994,MS,98,27,431,11
432,Hamilton,M,9/8/2003,MBBS,78,18,432,3
433,Harve,M,5/21/1988,MS,93,33,433,19
434,Israel,M,1/16/1996,DM,88,25,434,19
435,Leander,M,2/25/1982,MD,89,39,435,8
436,Melville,M,5/13/1967,MBBS,65,54,436,10
437,Merle,M,3/14/1942,MBBS,87,79,437,5
438,Murray,M,10/27/1975,MD,66,46,438,11
439,Pleasant,M,12/9/1964,Super Speciality,95,57,439,4
440,Sterling,M,5/27/1952,MBBS,65,69,440,14
441,Steven,M,10/3/1942,MD,92,79,441,3
442,Axel,M,9/25/1998,MD,97,23,442,9
443,Boyd,M,12/24/1988,Super Speciality,100,33,443,11
444,Bryant,M,8/15/2002,Super Speciality,65,19,444,5
445,Clement,M,5/1/1943,MD,89,78,445,6
446,Erwin,M,1/29/1953,Super Speciality,70,68,446,1
447,Ezekiel,M,12/29/1988,MS,69,33,447,12
448,Foster,M,11/25/1941,MS,65,80,448,6
449,Frances,M,1/14/1953,MBBS,91,68,449,20
450,Geo,M,11/9/1991,MBBS,67,30,450,13
451,Houston,M,8/22/1960,MD,87,61,451,15
452,Issac,M,9/24/1956,MS,71,65,452,5
453,Jules,M,3/30/1985,MD,79,36,453,18
454,Larkin,M,2/17/1994,MS,77,27,454,12
455,Mat,M,4/21/1968,MBBS,83,53,455,19
456,Morton,M,8/15/1985,MBBS,75,36,456,5
457,Orlando,M,3/20/2004,Super Speciality,74,17,457,2
458,Pierce,M,7/27/1961,Super Speciality,65,60,458,10
459,Prince,M,6/5/1980,MD,85,41,459,4
460,Rollie,M,12/2/2004,FRCS,76,17,460,12
461,Rollin,M,2/12/1954,DM,93,67,461,9
462,Sim,M,12/14/1939,DM,86,82,462,6
463,Stuart,M,7/26/1974,MD,95,47,463,9
464,Wilburn,M,12/9/1999,MD,72,22,464,10
465,Bennett,M,9/28/1952,MD,67,69,465,13
466,Casper,M,7/4/1994,MBBS,69,27,466,14
467,Christ,M,9/3/1961,DM,99,60,467,10
468,Dell,M,3/10/1948,FRCS,66,73,468,1
469,Egbert,M,6/27/1984,Super Speciality,69,37,469,4
470,Elmo,M,4/8/1981,MBBS,85,40,470,3
471,Fay,M,12/24/1990,Super Speciality,93,31,471,11
472,Gabriel,M,10/15/1994,DM,71,27,472,15
473,Hector,M,11/17/1988,DM,68,33,473,14
474,Horatio,M,2/1/1943,MS,99,78,474,5
475,Lige,M,2/2/1969,MD,95,52,475,1
476,Saul,M,4/24/1998,MD,91,23,476,20
477,Smith,M,8/25/1993,DM,84,28,477,10
478,Squire,M,11/29/1986,MS,85,35,478,2
479,Tobe,M,7/4/1987,Super Speciality,79,34,479,7
480,Tommie,M,2/16/1999,MS,99,22,480,13
481,Wyatt,M,1/21/1942,MD,98,79,481,4
482,Alford,M,2/2/1964,FRCS,77,57,482,1
483,Alma,M,5/10/1965,FRCS,79,56,483,19
484,Alton,M,5/21/1988,Super Speciality,80,33,484,6
485,Andres,M,8/24/1980,MS,82,41,485,12
486,Burl,M,4/22/2004,MS,88,17,486,16
487,Cicero,M,8/20/1981,FRCS,88,40,487,3
488,Dean,M,4/8/1996,MS,74,25,488,1
489,Dorsey,M,4/26/2001,MD,90,20,489,13
490,Enos,M,1/23/1943,MBBS,87,78,490,8
491,Howell,M,3/20/1983,Super Speciality,86,38,491,14
492,Lou,M,4/10/1971,MBBS,76,50,492,19
493,Loyd,M,3/13/1986,DM,79,35,493,8
494,Mahlon,M,3/2/1969,MS,95,52,494,6
495,Nat,M,3/8/2002,MS,96,19,495,10
496,Omar,M,2/7/1980,Super Speciality,77,41,496,17
497,Oran,M,1/9/1966,Super Speciality,73,55,497,20
498,Parker,M,6/15/2000,MBBS,95,21,498,12
